72,58,4,,minR,0
24,24,4,,maxR,72
45,43,6,,minG,22
65,50,6,,maxG,90
30,40,7,,minB,3
36,35,6,,maxB,14
52,58,5,,,
52,50,6,,,
31,29,4,,,
30,41,3,,,
29,22,5,,,
0,24,5,,,
33,38,6,,,
43,34,6,,,
63,90,13,,,
