10,8,7,,,minR,8
9,8,7,,,maxR,25
16,14,10,,,minG,4
12,11,10,,,maxG,20
25,20,18,,,minB,5
12,9,10,,,maxB,18
12,7,7,,,,
11,9,10,,,,
8,7,7,,,,
8,8,8,,,,
9,4,5,,,,
12,6,7,,,,
15,11,10,,,,
16,14,12,,,,
